,Restaurant_name,CO2
768,Waldhotel Hensel's Felsenkeller,0.0
769,Krapao Thai Bistro,0.0
770,Marinas EssBar,0.0
771,Da Renato,0.0
772,Nordost Grill - True Tasty - Gagaxiang,0.0
773,Monchi's,0.0
774,Cafe' Fahrtor,0.0
775,Imbiss Melilla,0.0
776,Pizzeria Da Bomba,0.0
777,eatDOORI Deli,8.93966666666666
778,Restaurant FUGO,0.0
779,Zum Nussbaum,0.0
780,Ypsilon,0.0
781,Thai Art,0.0
782,Motions,0.0
783,Eis&Cafe aRoma,0.0
784,Feinkost Paradies,0.0
785,Hooters American Sports Bar,0.0
786,Life Style Bar,0.0
787,Restaurant Zum Mirko,0.0
788,Restaurant Sandelmuhle,0.0
789,Recipe Bar & Eventlocation,0.0
790,Mathilda Glaskuchen,0.0
791,The Fifth Bar & Lounge,0.0
792,Alto Bar + Restaurant Neue Oper,0.0
793,Kushiya Ichikawa,0.0
794,Frankfurter Wirtshaus,0.0
795,Chichilas Tex Mex,0.0
796,Casa Italia | Ristorante Pizzeria,0.0
797,Cafe Caramel am Zoo,0.0
798,New Deli,0.0
799,Gaststatte Jahnvolk,0.0
800,Sushi am main,0.0
801,Bullys Burger,0.0
802,Cafe Albatros,0.0
803,Lebkuchen Schmidt,0.0
804,Prik Thai Restaurant,0.0
805,Pizzeria Bella Rosa,0.0
806,Pizzeria Isola Tavolara,0.0
807,Gaststatte Mainlust,0.0
808,Pavarotti And Friends,0.0
809,Yuyumi,0.0
810,Kaliko,0.0
811,Fischhaus Ohrmann,0.0
812,Stadtschanke Bergen,0.0
813,Rangolee,0.0
814,Sushiedo Frankfurt Zeil,0.0
815,L’angolo,0.0
816,Fiesta,0.0
817,Rosso Suite,0.0
818,Brizzis,0.0
819,Zeilsheim Pizza & Doener,0.0
820,Antru Noodle Bar & More - Vietnam Restaurant,0.0
821,Chinaski Tagesbar,0.0
822,Bier Stiefel,0.0
823,Heppy Green - eat fresh,0.0
824,rund & bunt,0.0
825,Philippi Taverna Ouzeri,0.0
826,Pizzeria Da Massimo,0.0
827,Sumela,0.0
828,Himalaya Sherpa,0.0
829,Sandwich and More,0.0
830,Frankfurter Restaurant,0.0
831,Xiang Asiatisches Restaurant,0.0
832,Mint.,0.0
833,Ried Back,0.0
834,El Burrito,0.0
835,Pizzeria la Cravatta,0.0
836,Westend Brunch,0.0
837,Chin-Thai Haus,0.0
838,Fuel Good,0.0
839,Yummi Restaurant and Bar,0.0
840,La Famiglia Frankfurt,0.0
841,China Restaurant Palms Garden,0.0
842,Elaine's Deli,0.0
843,Heidi's,0.0
844,Pizzeria La Brace,0.0
845,Pizzeria Dick & Doof Bergen-Enkheim,0.0
846,Frankfurter Apfelwein Botschaft,0.0
847,Eiscafe Paradiso,0.0
848,Fenstergucker,0.0
849,Aloha Poke im Bahnhofsviertel,0.0
850,Cafe Rotlint,0.0
851,La Gazzella,0.0
852,Rosisten 2,0.0
