Restaurant_name,avg_rating
VITO'S Italian Coffee & Winebar,5.0
Pizzeria Sardinien,4.4
1337Frankfurt,5.0
My Pita,4.7
Bambushaus,3.9
Klosterhof,4.1
Bidlabu,4.9
Paulaner Wirtshaus am Dom,4.4
Dim Sum Haus,4.3
Sonamu,4.0
Holbein's,4.3
Schreiber-Heyne,4.1
Yan Jing,3.3
Kabuki,3.2
Toh-Thong,4.5
Awake,4.3
Moriki,3.8
Cafe Karin,4.0
Ramen Jun,4.5
Destino,3.0
Goc Pho,4.5
SUNNY SIDE UP,3.5
The Fox and Hound,3.2
Club Voltaire,3.0
Mian Nudelhaus,4.1
Die Nudelbar & Hot Pot,3.9
Pak Choi,4.1
Konamon,4.8
Alanya-City,3.7
SAKURA Sushi Cafe in Frankfurt,5.0
Dumplings King,5.0
BLOCK HOUSE BOrsenplatz,5.0
Good Guys,4.2
Kilimanjaro,4.5
The Ivory Club,4.1
Sugar Mama,4.0
Amoroso,4.5
Aroma,4.4
Aroydee,4.2
AMAN,5.0
Berger Streetfood,4.4
Deli Coffee Kitchen,4.2
Zenzakan,3.4
Good Fellas,4.0
Zagros,4.5
Gokio Bros,4.7
Jade Magic Wok,3.7
Naïv,4.3
Vevay,4.1
Glauburg Cafe,4.8
Baseler Eck,3.9
HOfchen,4.2
Meyer's Restaurant,4.5
Currywurst Taunus 25,4.6
Seoulfood,4.1
Marmaris Kebaphaus Frankfurt,4.0
La Tabla Rasa,4.0
MoschMosch,3.3
Medici,4.8
Pho Ngon,3.6
BLOCK HOUSE Frankfurt Westend,3.4
Apfelwein Wagner,3.5
Pizzeria Montana,4.5
Main Tower Restaurant,3.2
Matsuri,4.5
Little Shanghai,4.6
M-Steakhouse,3.2
Restaurant Lafleur,5.0
Opera,4.5
Lorsbacher Thal,3.7
Shiso,4.1
Selera Malaysian,3.8
eat fit daily,5.0
Heimat,4.2
ROmer Pils Brunnen,4.5
IIMORI,3.9
El Dorado,4.0
ramen muku,4.4
Apfelwein DAX,4.0
Mutter Ernst,3.0
Walon & Rosetti,3.6
